display name,Affy ID,HR（内分泌療法〇）,HR（内分泌療法×）,ーlogP(内分泌療法×),LOGHRincludevalue,LOGHRexcludevalue,deltaHR,shape,logrank（〇）,logrank(×),下限信頼区間(内分泌療法あり),上限信頼区間(内分泌療法あり),標準誤差（内分泌療法〇）,下限信頼区間(内分泌療法なし),上限信頼区間(内分泌療法なし),標準誤差（内分泌療法×）,Z,|Z|,P
APPL2, 218218_at,0.58,0.7,0.15490196,-0.236572006,-0.15490196,-0.081670046,1,0.037,0.073,0.34,0.97,0.116146127,0.47,1.04,0.087993745,-0.560478481,0.560478481,0.575153113
UFSP2,218449_at,0.68,1.39,-0.1430148,-0.167491087,0.1430148,-0.310505888,0,0.1,0.067,0.42,1.08,0.104636343,0.98,1.97,0.077357181,-2.386185464,2.386185464,0.017024163
PRCP,201494_at,0.72,0.58,0.236572006,-0.142667504,-0.236572006,0.093904503,1,0.19,0.0013,0.44,1.18,0.109293197,0.41,0.81,0.07543397,0.707123314,0.707123314,0.479489849
ZDHHC7,218606_at,1.83,0.79,0.102372909,0.26245109,-0.102372909,0.364823998,1,0.01,0.15,1.15,2.93,0.10361474,0.57,1.09,0.071824399,2.893719505,2.893719505,0.003807081
KDM3A,212689_s_at,1.25,1.19,-0.075546961,0.096910013,0.075546961,0.021363052,0,0.35,0.37,0.78,1.99,0.103764917,0.81,1.74,0.084710263,0.159483561,0.159483561,0.873287909
VPS11,203292_s_at,2.04,0.65,0.187086643,0.309630167,-0.187086643,0.496716811,2,0.032,0.016,1.05,3.99,0.147903979,0.45,0.92,0.079228396,2.960387992,2.960387992,0.003072518
PKN1,202161_at,1.78,0.65,0.187086643,0.250420002,-0.187086643,0.437506646,2,0.04,0.019,1.02,3.1,0.12315345,0.45,0.94,0.081611056,2.961326351,2.961326351,0.003063172
LMO3,204424_s_at,2.83,1.23,-0.089905111,0.451786436,0.089905111,0.361881324,1,0.0023,0.28,1.41,5.7,0.154759118,0.84,1.78,0.083199162,2.059588104,2.059588104,0.039437934
PRL,205445_at,1.31,0.78,0.107905397,0.117271296,-0.107905397,0.225176693,0,0.28,0.16,0.8,2.15,0.109527672,0.56,1.1,0.074797107,1.697771286,1.697771286,0.089550937
ZMIZ1,212124_at,1.31,0.78,0.107905397,0.117271296,-0.107905397,0.225176693,0,0.26,0.14,0.82,2.11,0.104711378,0.56,1.09,0.073785324,1.757865852,1.757865852,0.078770337
PTH,206977_at,0.66,0.69,0.161150909,-0.180456064,-0.161150909,-0.019305155,1,0.11,0.025,0.4,1.1,0.112074667,0.49,0.95,0.073348858,-0.144129395,0.144129395,0.885398293
CALCOCO1,209002_s_at,2.12,0.57,0.244125144,0.326335861,-0.244125144,0.570461005,2,0.024,0.0025,1.09,4.15,0.148117755,0.4,0.83,0.080871965,3.380356448,3.380356448,0.000723919
PTPN11,212610_at,1.55,1.49,-0.173186268,0.190331698,0.173186268,0.01714543,1,0.064,0.015,0.97,2.46,0.103102901,1.08,2.07,0.072078212,0.136291877,0.136291877,0.891590545
RARA,203750_s_at,1.54,0.69,0.161150909,0.187520721,-0.161150909,0.34867163,1,0.085,0.026,0.94,2.51,0.108812721,0.5,0.96,0.072270722,2.669227174,2.669227174,0.007602601
RARB,205080_at,0.67,0.69,0.161150909,-0.173925197,-0.161150909,-0.012774288,1,0.15,0.034,0.39,1.16,0.120763618,0.5,0.97,0.073418809,-0.090386236,0.090386236,0.927980294
RARG,204189_at,1.46,0.65,0.187086643,0.164352856,-0.187086643,0.351439499,1,0.13,0.016,0.9,2.38,0.107738379,0.46,0.93,0.077991101,2.642314844,2.642314844,0.008234147
RELA,201783_s_at,3.06,0.65,0.187086643,0.485721426,-0.187086643,0.67280807,2,0.0017,0.019,1.47,6.4,0.162975163,0.45,0.93,0.080426131,3.702045295,3.702045295,0.000213868
REN,206367_at,1.62,0.81,0.091514981,0.209515015,-0.091514981,0.301029996,1,0.048,0.2,1,2.61,0.106285844,0.58,1.12,0.07290562,2.335608183,2.335608183,0.019511672
RNF6,203403_s_at,0.8,1.65,-0.217483944,-0.096910013,0.217483944,-0.314393957,1,0.34,0.0023,0.5,1.27,0.103273907,1.19,2.28,0.072037726,-2.49684724,2.49684724,0.012530292
RXRA,202449_s_at,1.49,0.72,0.142667504,0.173186268,-0.142667504,0.315853772,0,0.09,0.052,0.94,2.39,0.103385216,0.51,1,0.074599445,2.477487944,2.477487944,0.013231088
RXRB,209148_at,3.13,0.74,0.13076828,0.495544338,-0.13076828,0.626312618,1,0.00014,0.096,1.68,5.82,0.137656557,0.51,1.06,0.081055023,3.920642613,3.920642613,8.83132E-05
