Gene,YES_gain,YES_no_gain,NO_gain,NO_no_gain,p_value,OR
LMO3,109,1107,81,683,0.24006784,0.830260854
PRL,113,1103,119,645,2.97916E-05,0.555284671
ZMIZ1,151,1065,105,659,0.409274405,0.889863626
PTH,96,1120,46,718,0.128311896,1.337888199
CALCOCO1,90,1126,34,730,0.009830346,1.716121617
PTPN11,73,1143,34,730,0.153059058,1.371262416
RARA,176,1040,106,658,0.741413541,1.050507983
RARB,83,1133,40,724,0.18040226,1.325948808
RARG,87,1129,34,730,0.015740997,1.654509457
RELA,123,1093,61,703,0.130669319,1.296911793
REN,795,421,437,327,0.000294216,1.41302989
RNF6,61,1155,42,722,0.677853195,0.907895279
RXRA,142,1074,71,693,0.101399583,1.290502793
RXRB,77,1139,85,679,0.000198257,0.540029954
RXRG,734,482,462,302,1,0.995437481
SAFB,55,1161,47,717,0.117702275,0.722689538
SFRP1,323,893,167,597,0.01863357,1.293030959
SMARCA4,55,1161,61,703,0.001634296,0.545953884
DDRGK1,192,1024,115,649,0.702059319,1.058152174
SRC,280,936,138,626,0.009221428,1.356992444
BRCA1,125,1091,56,708,0.0303397,1.448540003
SST,175,1041,128,636,0.15878854,0.835284582
SSTR2,264,952,154,610,0.428655697,1.098439376
SSTR3,25,1191,47,717,3.41427E-06,0.320220805
SSTR4,282,934,164,600,0.377253561,1.104611689
SSTR5,525,691,219,545,8.09974E-11,1.890747973
TAF7,133,1083,46,718,0.000197291,1.916857361
THRA,210,1006,137,627,0.715882594,0.955362714
NR2E1,68,1148,85,679,1.2909E-05,0.473170732
NR2C1,77,1139,37,727,0.19743046,1.328310751
TRH,124,1092,72,692,0.589468165,1.091371591
TSHR,57,1159,36,728,1,0.994535519
DEFA1B,103,1113,69,695,0.682352346,0.932132766
UBE3A,44,1172,33,731,0.474074553,0.831626849
NR1H2,95,1121,54,710,0.599720968,1.114249843
YWHAH,35,1181,37,727,0.02630258,0.582305421
ADIPOR2,126,1090,124,640,0.000167458,0.596626221
NR4A3,40,1176,29,735,0.614874539,0.862068965
NCOA4,43,1173,44,720,0.023803036,0.599860498
CALR,68,1148,65,699,0.012778889,0.636987403
LBH,45,1171,78,686,9.71138E-09,0.337975432
ARID1A,5,1211,10,754,0.032347866,0.311312964
TP63,189,1027,134,630,0.26078282,0.865221119
NCOA1,35,1181,71,693,1.86151E-09,0.289263098
TRIP4,51,1165,35,729,0.734262061,0.911808706
CYP7B1,444,772,265,499,0.413533685,1.082979763
NR1D1,206,1010,132,632,0.854126857,0.976537654
RNF14,131,1085,50,714,0.001334417,1.724129032
NCOR1,34,1182,17,747,0.46962294,1.263959391
NCOR2,94,1122,41,723,0.044041086,1.477370549
SAFB2,55,1161,48,716,0.096180077,0.706646569
