Gene,YES_gain,YES_no_gain,NO_gain,NO_no_gain,p_value
UBR5,523,693,351,413,0.20952922808140806
RWDD1,66,1150,78,686,8.581107347940009e-05
UFM1,41,1175,41,723,0.036553230714394584
PER1,19,1197,5,759,0.09086906811747511
POU4F2,42,1174,34,730,0.2802918395494048
PPARD,71,1145,86,678,2.4370847309396293e-05
PPARG,102,1114,52,712,0.22753904896244465
MED1,230,986,164,600,0.18352684618005285
TRIM68,80,1136,35,729,0.07528024363469171
APPL2,77,1139,39,725,0.28034547557687184
UFSP2,36,1180,21,743,0.890377583948055
PRCP,101,1115,62,702,0.9331327276355877
ZDHHC7,33,1183,39,725,0.006582922541350291
KDM3A,41,1175,54,710,0.00031645545724744086
VPS11,27,1189,19,745,0.7597661119383596
PKN1,61,1155,70,694,0.0003922911385397579
LMO3,109,1107,81,683,0.24006783961537997
PRL,113,1103,119,645,2.9791578330632424e-05
ZMIZ1,151,1065,105,659,0.40927440461220504
PTH,96,1120,46,718,0.12831189592347697
CALCOCO1,90,1126,34,730,0.009830345570877638
PTPN11,73,1143,34,730,0.15305905849432605
RARA,176,1040,106,658,0.741413540947536
RARB,83,1133,40,724,0.1804022601699946
RARG,87,1129,34,730,0.01574099681838905
RELA,123,1093,61,703,0.13066931870999232
REN,795,421,437,327,0.0002942157096117209
RNF6,61,1155,42,722,0.6778531950107263
RXRA,142,1074,71,693,0.10139958265814761
RXRB,77,1139,85,679,0.00019825682001484092
RXRG,734,482,462,302,1.0
SAFB,55,1161,47,717,0.11770227476620304
SFRP1,323,893,167,597,0.01863356954548107
SMARCA4,55,1161,61,703,0.0016342958982738772
DDRGK1,192,1024,115,649,0.7020593188671089
SRC,280,936,138,626,0.00922142774280801
BRCA1,125,1091,56,708,0.030339699840682414
SST,175,1041,128,636,0.15878853966733092
SSTR2,264,952,154,610,0.42865569716994384
SSTR3,25,1191,47,717,3.414273650067156e-06
SSTR4,282,934,164,600,0.3772535606263175
SSTR5,525,691,219,545,8.099744829988118e-11
TAF7,133,1083,46,718,0.00019729061745338102
THRA,210,1006,137,627,0.7158825936183921
NR2E1,68,1148,85,679,1.290904322603048e-05
NR2C1,77,1139,37,727,0.1974304595921924
TRH,124,1092,72,692,0.5894681648728501
TSHR,57,1159,36,728,1.0
DEFA1B,103,1113,69,695,0.6823523462798589
UBE3A,44,1172,33,731,0.47407455254634007
NR1H2,95,1121,54,710,0.5997209676333484
YWHAH,35,1181,37,727,0.02630258000635243
ADIPOR2,126,1090,124,640,0.0001674580548940409
NR4A3,40,1176,29,735,0.6148745385664853
NCOA4,43,1173,44,720,0.023803036026911466
CALR,68,1148,65,699,0.012778888985233616
LBH,45,1171,78,686,9.711380098286183e-09
ARID1A,5,1211,10,754,0.03234786553609873
TP63,189,1027,134,630,0.26078281980075135
NCOA1,35,1181,71,693,1.8615079225678358e-09
TRIP4,51,1165,35,729,0.7342620613366148
CYP7B1,444,772,265,499,0.41353368459413126
NR1D1,206,1010,132,632,0.8541268572471995
RNF14,131,1085,50,714,0.0013344170994136714
NCOR1,34,1182,17,747,0.4696229400145384
NCOR2,94,1122,41,723,0.044041086048909064
SAFB2,55,1161,48,716,0.09618007703486967
